0.0;60
5099.0;120
25346.0;152
32500.0;232
32708.0;312
34047.0;392
55459.0;417
64015.0;439
69185.0;461
70605.0;476
77812.0;526
79016.0;541
101928.0;565
104055.0;579
107189.0;606
110585.0;627
112879.0;650
116806.0;680
117257.0;710
117295.0;714
123003.0;782
157111.0;812
159299.0;832
169126.0;846
195032.0;857
198865.0;891
200606.0;916
214750.0;971
216141.0;983
238699.0;1023
247766.0;1060
266012.0;1070
292612.0;1133
301054.0;1165
326383.0;1195
332431.0;1240
383886.0;1285
410759.0;1300
433737.0;1421
448416.0;1429
509283.0;1563
542246.0;1608
594158.0;1708
594166.0;1722
645226.0;1782
767931.0;1842
770926.0;1884
775716.0;1904
780779.0;1964
794641.0;1994
798988.0;2028
813703.0;2053
821361.0;2089
849985.0;2139
886079.0;2186
887995.0;2216
891860.0;2227
901422.0;2277
928603.0;2322
939754.0;2362
974703.0;2392
988242.0;2456
1006587.0;2518
1025328.0;2548
1063128.0;2608
1068226.0;2642
1102894.0;2670
1114058.0;2728
1146734.0;2762
1192419.0;2873
1198965.0;2913
1234554.0;2960
1274935.0;3083
1286346.0;3150
1295269.0;3238
1302738.0;3287
1308988.0;3334
1318176.0;3398
1393526.0;3426
1400418.0;3524
1448110.0;3549
1457101.0;3608
1509692.0;3668
1543593.0;3729
1543609.0;3754
1581248.0;3774
1581276.0;3790
1592539.0;3850
1623431.0;3880
1708309.0;3910
1721694.0;3930
1721715.0;3980
1752942.0;4040
1769234.0;4090
1795835.0;4120
1802439.0;4170
1814831.0;4178
1833584.0;4228
1935854.0;4258
1972179.0;4362
2097928.0;4429
2109884.0;4457
2109913.0;4462
2141022.0;4534
2149764.0;4544
2149797.0;4590
2155649.0;4630
2184235.0;4656
2226176.0;4716
2268171.0;4759
2268186.0;4778
2286310.0;4823
2312032.0;4855
2319739.0;4908
2320018.0;4916
2362160.0;4939
2399879.0;5031
2411278.0;5072
2481827.0;5102
2488929.0;5160
2508223.0;5205
2510011.0;5222
2531306.0;5261
2536165.0;5333
2537764.0;5348
2605187.0;5466
2618614.0;5511
2625752.0;5524
2625774.0;5546
2657096.0;5578
2657209.0;5587
2662938.0;5623
2745540.0;5682
2746448.0;5697
2747210.0;5833
2883941.0;5843
2883941.0;5891
2928102.0;5951
2960034.0;5961
3035211.0;5971
3136203.0;6153
3136204.0;6158
3136205.0;6172
3136205.0;6211
3194177.0;6255
3194178.0;6273
3194179.0;6281
3194181.0;6287
3224117.0;6319
3224894.0;6327
3235765.0;6373
3248834.0;6413
3254007.0;6485
3277704.0;6520
3277705.0;6566
3290955.0;6596
3292997.0;6616
3315469.0;6621
3322101.0;6645
3325564.0;6660
3328213.0;6697
3331065.0;6719
3335132.0;6749
3362765.0;6776
3364875.0;6801
3375703.0;6823
3375705.0;6858
3375706.0;6878
3425769.0;6911
3450077.0;6928
3457689.0;6958
3457827.0;6966
3457828.0;6981
3482942.0;7022
3482958.0;7027
3482971.0;7035
3565425.0;7081
3565627.0;7141
3594864.0;7181
3594865.0;7196
3594869.0;7236
3594870.0;7254
3621677.0;7269
3621718.0;7307
7670582.0;7347
7674225.0;7362
7675905.0;7382
7677822.0;7387
7687614.0;7467
7711932.0;7517
7715000.0;7543
7737624.0;7573
7740300.0;7595
7741515.0;7607
7760296.0;7637
7761405.0;7675
7762041.0;7685
7795799.0;7719
7795800.0;7721
7814138.0;7729
7829487.0;7766
7832233.0;7783
7843348.0;7794
7843374.0;7828
8015284.0;7914
8019412.0;7924
8020703.0;7931
8041698.0;7995
8046904.0;8025
8095065.0;8042
8103229.0;8104
8104351.0;8113
8183510.0;8143
8192582.0;8183
8242986.0;8243
8248090.0;8271
8272562.0;8331
8277501.0;8391
8282931.0;8411
8287930.0;8431
8300323.0;8461
8302907.0;8481
8311296.0;8521
8333249.0;8551
8358729.0;8581
8361462.0;8601
8363486.0;8631
8416251.0;8651
8418591.0;8711
8443380.0;8731
8448689.0;8741
8454691.0;8771
8460675.0;8781
8475754.0;8816
8480999.0;8859
8530475.0;8905
8533439.0;8974
8593824.0;8989
8634590.0;9079
8705561.0;9194
8714076.0;9248
8762548.0;9354
8800768.0;9412
8866273.0;9471
8882525.0;9511
8885668.0;9538
9020510.0;9628
9058059.0;9730
9236236.0;9893
9243565.0;9923
9268156.0;10046
9314875.0;10166
9346939.0;10470
9379059.0;10674
9386141.0;10721
9401112.0;10761
9454987.0;10859
9486301.0;10942
9500166.0;10977
9501997.0;10984
9564456.0;11104
9571774.0;11170
9658411.0;11238
9839679.0;11388
9847253.0;11418
9863984.0;11458
9881310.0;11504
9883543.0;11526
9914258.0;11590
9932061.0;11614
9958129.0;11654
9966155.0;11720
10003688.0;11782
10019212.0;11792
10051819.0;11912
10093904.0;11957
10175156.0;12077
10181175.0;12097
10287092.0;12127
10381443.0;12224
10427338.0;12234
10441642.0;12284
10447401.0;12358
10464412.0;12418
10498843.0;12482
10517013.0;12512
10524016.0;12564
10614753.0;12695
